Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-82734000028,2025-05-20,6190,HAWKS LIQUOR & TOBACCO / CORALVILLE,2425 2ND STREET,CORALVILLE,52241.0,POINT (-91.60044 41.68445),JOHNSON,1022200.0,100% AGAVE TEQUILA,65.0,JIM BEAM BRANDS,88548,HORNITOS PLATA,12.0,750.0,15.0,22.5,12.0,270.0,9.0,2.37
INV-82723100043,2025-05-20,2552,HY-VEE FOOD STORE #3 (1056) / CEDAR RAPIDS,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404.0,POINT (-91.65732 41.95585),LINN,1032100.0,IMPORTED VODKAS,305.0,MHW LTD,34244,CHOPIN VODKA,6.0,750.0,14.84,22.26,2.0,44.52,1.5,0.39
INV-82724100011,2025-05-20,6266,KWIK STAR #607 / MARSHALLTOWN,814 SOUTH 6TH STREET,MARSHALLTOWN,50158.0,POINT (-92.92069 42.03834),MARSHALL,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,86881,SOUTHERN COMFORT MINI,10.0,50.0,5.24,7.86,3.0,23.58,0.15,0.03
INV-82728800013,2025-05-20,5362,CROSSROADS WINE & SPIRITS LLC,117 IOWA AVE,DUNLAP,51529.0,POINT (-95.60229 41.85442),HARRISON,1031100.0,AMERICAN VODKAS,301.0,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6.0,1750.0,19.0,28.5,6.0,171.0,10.5,2.77
INV-82726500038,2025-05-20,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677.0,POINT (-92.47395 42.71212),BREMER,1011400.0,TENNESSEE WHISKIES,260.0,DIAGEO AMERICAS,26656,GEORGE DICKEL #12,12.0,750.0,14.49,21.74,4.0,86.96,3.0,0.79
INV-82725700043,2025-05-20,6223,PRIME MART / WATERLOO,508 BROADWAY STREET,WATERLOO,50703.0,POINT (-92.34509 42.51056),BLACK HAWK,1022200.0,100% AGAVE TEQUILA,192.0,"MAST-JAGERMEISTER US, INC",88355,TEREMANA BLANCO TEQUILA,6.0,1000.0,18.46,27.69,6.0,166.14,6.0,1.58
INV-82721800013,2025-05-20,5617,CASEY'S GENERAL STORE #2513 / NASHUA,100 AMHERST BLVD,NASHUA,50658.0,POINT (-92.54567 42.95343),CHICKASAW,1062500.0,FLAVORED RUM,370.0,PERNOD RICARD USA,42715,MALIBU COCONUT PET,12.0,750.0,8.99,13.49,4.0,53.96,3.0,0.79
INV-82720600005,2025-05-20,5399,CASEY'S GENERAL STORE # 1876/MANLY,505 HWY 65 S,MANLY,50456.0,POINT (-93.21093 43.28376),WORTH,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11788,BLACK VELVET,6.0,1750.0,11.5,17.25,12.0,207.0,21.0,5.54
INV-82721900019,2025-05-20,4999,CASEY'S GENERAL STORE #2680 / CLARKS,213 S MAIN ST,CLARKSVILLE,50619.0,POINT (-92.6678 42.78334),BUTLER,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12.0,750.0,3.5,5.25,24.0,126.0,18.0,4.75
INV-82746500003,2025-05-20,10080,NEW STAR RAYMOND / RAYMOND,101 COMMERCIAL STREET,RAYMOND,50667.0,POINT (-92.21943 42.46627),BLACK HAWK,1011200.0,STRAIGHT BOURBON WHISKIES,297.0,LAIRD & COMPANY,18408,G & W BOURBON,6.0,1750.0,11.99,17.99,6.0,107.94,10.5,2.77
INV-82725200008,2025-05-20,4759,WALGREENS #10855 / WATERLOO,1850 LOGAN AVE,WATERLOO,50703.0,POINT (-92.33758 42.52712),BLACK HAWK,1032100.0,IMPORTED VODKAS,370.0,PERNOD RICARD USA,34004,ABSOLUT SWEDISH VODKA 80PRF,24.0,375.0,4.99,7.49,24.0,179.76,9.0,2.37
INV-82725500001,2025-05-20,5933,ALI'S CORNER / WATERLOO,1117 E 4TH ST,WATERLOO,50703.0,POINT (-92.33275 42.50741),IOWA,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11788,BLACK VELVET,6.0,1750.0,11.5,17.25,6.0,103.5,10.5,2.77
INV-82750000045,2025-05-20,5444,MARSHALL BEER WINE SPIRITS,11 N 3RD AVE,MARSHALLTOWN,50158.0,POINT (-92.90803 42.05011),MARSHALL,1062400.0,SPICED RUM,260.0,DIAGEO AMERICAS,43334,CAPTAIN MORGAN ORIGINAL SPICED,24.0,375.0,5.24,7.86,24.0,188.64,9.0,2.37
INV-82758200008,2025-05-20,4452,SELECT MART    GORDON DR,2825 GORDON DR,SIOUX CITY,51105.0,POINT (-96.37199 42.48961),WOODBURY,1031100.0,AMERICAN VODKAS,301.0,FIFTH GENERATION INC,38194,TITOS HANDMADE VODKA MINI,5.0,50.0,12.8,19.2,5.0,96.0,0.25,0.06
INV-82717700005,2025-05-20,5815,SUPER STOP IV - DUBUQUE,535 HILL STREET SUITE A,DUBUQUE,52001.0,POINT (-90.6744 42.49645),DUBUQUE,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19064,JIM BEAM,24.0,375.0,6.1,9.15,24.0,219.6,9.0,2.37
INV-82718700004,2025-05-20,5359,FAREWAY STORES #168/ PEOSTA,8400 NICC DRIVE,PEOSTA,52068.0,POINT (-90.8485 42.44482),DUBUQUE,1011200.0,STRAIGHT BOURBON WHISKIES,259.0,HEAVEN HILL BRANDS,17956,EVAN WILLIAMS BLACK,12.0,750.0,9.5,14.25,12.0,171.0,9.0,2.37
INV-82722600001,2025-05-20,4250,FAREWAY STORES #882 / ELDORA,1232 14TH ST,ELDORA,50627.0,POINT (-93.10073 42.36105),HARDIN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,421.0,SAZERAC COMPANY  INC,102031,FIREBALL BIRDIE SHOT MINI,1.0,50.0,52.4,78.6,1.0,78.6,0.05,0.01
INV-82721000023,2025-05-20,3664,SHADE TREE LIQUORS,90 10TH ST S,NORTHWOOD,50459.0,POINT (-93.21834 43.44374),WORTH,1031100.0,AMERICAN VODKAS,322.0,USDP / UNITED STATES DISTILLED PRODUCTS CO,37347,PHILLIPS VODKA,12.0,1000.0,4.5,6.75,12.0,81.0,12.0,3.17
INV-82759200012,2025-05-20,6318,PRIME STOP.INC / MELBOURNE,1659 MARSHALLTOWN BOULEVARD,MELBOURNE,50162.0,POINT (-93.10021 41.95381),MARSHALL,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,64864,FIREBALL CINNAMON WHISKEY,24.0,375.0,5.33,8.0,24.0,192.0,9.0,2.37
INV-82761500014,2025-05-20,4156,FAREWAY STORES #412 / OELWEIN,102  2ND AVE SE,OELWEIN,50662.0,POINT (-91.91097 42.6747),FAYETTE,1081300.0,AMERICAN CORDIALS & LIQUEURS,65.0,JIM BEAM BRANDS,85526,DEKUYPER BLUE CURACAO,12.0,750.0,5.25,7.88,2.0,15.76,1.5,0.39
INV-82721900011,2025-05-20,4999,CASEY'S GENERAL STORE #2680 / CLARKS,213 S MAIN ST,CLARKSVILLE,50619.0,POINT (-92.6678 42.78334),BUTLER,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24.0,375.0,3.25,4.88,24.0,117.12,9.0,2.37
INV-82716300010,2025-05-20,4051,FAREWAY STORES #639 / MAQUOKETA,110 WESTGATE DR,MAQUOKETA,52060.0,POINT (-90.68137 42.06742),JACKSON,1031100.0,AMERICAN VODKAS,421.0,SAZERAC COMPANY  INC,35948,FLEISCHMANNS 80PRF VODKA,6.0,1750.0,6.5,9.75,6.0,58.5,10.5,2.77
