Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-84979500001,2025-07-30,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266,,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,259,HEAVEN HILL BRANDS,18116,EVAN WILLIAMS BLACK PET,12.0,750.0,9.5,14.25,12.0,171.0,9.0,2.37
INV-85006700046,2025-07-30,5293,THE BOONEDOCKS,"228, N HWY 71",ARNOLDS PARK,51331,POINT (-95.12597 43.37084),DICKINSON,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36307,HAWKEYE VODKA,12.0,1000.0,4.35,6.53,12.0,78.36,12.0,3.17
INV-84979700020,2025-07-30,3899,WAL-MART 3762 / WDM,6365 STAGECOACH DR,WEST DES MOINES,50266,POINT (-93.79707 41.55887),POLK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12.0,750.0,3.5,5.25,12.0,63.0,9.0,2.37
INV-84989500009,2025-07-30,4296,CIRCLE B MARKET,111 MAIN ST,KEOSAUQUA,52565,POINT (-91.95901 40.72734),VAN BUREN,1031100.0,AMERICAN VODKAS,260,DIAGEO AMERICAS,37996,SMIRNOFF 80PRF,12.0,750.0,8.25,12.38,3.0,37.14,2.25,0.59
INV-84993700051,2025-07-30,2501,HY-VEE  #2 (1018) / AMES,640 LINCOLNWAY,AMES,50010,POINT (-93.61869 42.02028),STORY,1091200.0,NEUTRAL GRAIN SPIRITS,434,LUXCO INC,41846,EVERCLEAR 151,12.0,750.0,9.0,13.5,12.0,162.0,9.0,2.37
INV-84981200020,2025-07-30,4397,QUIK TRIP #514 / ANKENY,802 E 1ST ST,ANKENY,50021,POINT (-93.58628 41.73234),POLK,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,84219,99 PEPPERMINT,48.0,100.0,1.0,1.5,48.0,72.0,4.8,1.26
INV-84994300005,2025-07-30,3866,TARGET STORE T-1170 / AMES,320 S DUFF,AMES,50010,POINT (-93.60753 42.01917),STORY,1062500.0,FLAVORED RUM,370,PERNOD RICARD USA,42718,MALIBU COCONUT,6.0,1750.0,16.49,24.74,6.0,148.44,10.5,2.77
INV-84996200055,2025-07-30,5441,LIQUOR ON THE CORNER,300 EAST MAIN,CHEROKEE,51012,POINT (-95.54709 42.74959),CHEROKEE,1022200.0,100% AGAVE TEQUILA,65,JIM BEAM BRANDS,88547,HORNITOS PLATA,12.0,1000.0,15.0,22.5,1.0,22.5,1.0,0.26
INV-84995000009,2025-07-30,5187,KWIK STOP LIQUOR & GROCERIES AMES,125 6TH ST,AMES,50010,POINT (-93.61186 42.02712),STORY,1032100.0,IMPORTED VODKAS,260,DIAGEO AMERICAS,36871,CIROC 80PRF,12.0,750.0,16.49,24.74,2.0,49.48,1.5,0.39
INV-84930200014,2025-07-29,10235,MAPLETON FOOD LAND / MAPLETON,405 HEISLER STREET,MAPLETON,51034,POINT (-95.79216 42.16712),MONONA,1062200.0,WHITE RUM,434,LUXCO INC,46350,HAWKEYE LIGHT RUM,6.0,1750.0,9.0,13.5,2.0,27.0,3.5,0.92
